vmf/direction_dim_14_hist,vmf/direction_dim_0_hist,vmf/mean_direction,vmf/direction_dim_6_hist,losses/int_value_loss,vmf/direction_dim_13_hist,charts/max_traj_len,returns/int_advantages,vmf/direction_dim_12_hist,charts/episode_return,vmf/direction_dim_11_hist,vmf/direction_dim_1_hist,charts/game_score,rewards/raw_game_rewards_min,_timestamp,rewards/rewards_mean,charts/SPS,charts/learning_rate,rewards/num_envs_with_pos_rews,charts/vmf_kappa,charts/traj_len,rewards/intrinsic_rewards_mean,rewards/raw_game_rewards_mean,charts/min_traj_len,charts/iterations,vmf/direction_dim_5_hist,returns/values_int,returns/advantages,charts/time_per_it,rewards/raw_game_rewards_max,returns/ext_advantages,losses/entropy,losses/ext_value_loss,_step,charts/returns_hist,vmf/direction_dim_3_hist,rewards/rewards_max,losses/approx_kl,vmf/direction_dim_15_hist,charts/min_game_score,losses/policy_loss,rewards/rewards_min,charts/success_rate,rewards/rewards_for_plot,vmf/direction_dim_9_hist,vmf/direction_dim_10_hist,losses/old_approx_kl,rewards/intrinsic_rewards_max,rewards/intrinsic_rewards_min,charts/e1_mu_angle,vmf/direction_dim_2_hist,losses/all_loss,_runtime,charts/max_game_score,losses/clipfrac,vmf/direction_dim_4_hist,vmf/direction_dim_7_hist,vmf/direction_dim_8_hist,returns/values_ext,returns/ret_ext,returns/ret_int
,,,,0.015851736068725586,,1358.0,-0.012519876472651958,,1160.0,,,769.375,0.0,1733528452.4282904,0.004028145223855972,840.0,0.0003,112.0,23.558276295661926,803.8359375,0.007917392067611217,0.07470703125,0.0,192.0,,0.5800877213478088,-0.0031062904745340347,18.916501760482788,1.0,-0.002981091383844614,2.2594661712646484,0.004494465421885252,3145728.0,,,0.0539192259311676,0.002924528671428561,,0.0,-0.007293283939361572,0.0,1.0,0.07470703125,,,0.0043504927307367325,0.04849773645401001,-0.04169911891222,92.56204333818444,,-0.0197148434817791,3774.173271838,2520.0,0.111968994140625,,,,0.5360782146453857,0.5330970883369446,0.5675678253173828
,,,,,,,,,460.0,,,,,1733528595.0689268,,,,,23.51172924041748,,,,,,,,,,,,,,3267456.0,,,,,,,,,1.0,,,,,,,,,,3917.278834388,,,,,,,,
,,,,,,,,,580.0,,,,,1733528683.4861426,,,,,23.567887544631958,,,,,,,,,,,,,,3342848.0,,,,,,,,,1.0,,,,,,,,,,4005.306264686,,,,,,,,
,,,,,,,,,490.0,,,,,1733528719.4846385,,,,,23.689928948879242,,,,,,,,,,,,,,3374464.0,,,,,,,,,1.0,,,,,,,,,,4043.54827577,,,,,,,,
,,,,,,,,,610.0,,,,,1733528931.048149,,,,,23.801110088825226,,,,,,,,,,,,,,3554432.0,,,,,,,,,1.0,,,,,,,,,,4253.046771131,,,,,,,,
,,,,,,,,,550.0,,,,,1733528980.6581364,,,,,23.801110088825226,,,,,,,,,,,,,,3596800.0,,,,,,,,,1.0,,,,,,,,,,4302.510473735,,,,,,,,
,,,,,,,,,540.0,,,,,1733529055.5504053,,,,,23.801110088825226,,,,,,,,,,,,,,3661440.0,,,,,,,,,1.0,,,,,,,,,,4377.406658569,,,,,,,,
,,,,,,,,,510.0,,,,,1733529067.6434152,,,,,23.801110088825226,,,,,,,,,,,,,,3670400.0,,,,,,,,,1.0,,,,,,,,,,4392.878347306,,,,,,,,
,,,,,,,,,650.0,,,,,1733529115.7700026,,,,,23.789277970790863,,,,,,,,,,,,,,3712384.0,,,,,,,,,1.0,,,,,,,,,,4438.18498846,,,,,,,,
,,,,,,,,,1210.0,,,,,1733529128.1243556,,,,,23.789277970790863,,,,,,,,,,,,,,3722880.0,,,,,,,,,1.0,,,,,,,,,,4452.376467935,,,,,,,,
