"Step","Score","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MIN","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MAX"
"8536064","3443.75","3443.75","3443.75"
"8552448","3507.03125","3507.03125","3507.03125"
"8568832","3546.875","3546.875","3546.875"
"8585216","3573.4375","3573.4375","3573.4375"
"8601600","3551.5625","3551.5625","3551.5625"
"8617984","3436.71875","3436.71875","3436.71875"
"8634368","3420.3125","3420.3125","3420.3125"
"8650752","3341.40625","3341.40625","3341.40625"
"8667136","3321.875","3321.875","3321.875"
"8683520","3382.03125","3382.03125","3382.03125"
"8699904","3367.96875","3367.96875","3367.96875"
"8716288","3298.4375","3298.4375","3298.4375"
"8732672","3217.96875","3217.96875","3217.96875"
"8749056","3267.1875","3267.1875","3267.1875"
"8765440","3228.90625","3228.90625","3228.90625"
"8781824","3219.53125","3219.53125","3219.53125"
"8798208","3348.4375","3348.4375","3348.4375"
"8814592","3470.3125","3470.3125","3470.3125"
"8830976","3539.0625","3539.0625","3539.0625"
"8847360","3570.3125","3570.3125","3570.3125"
"8863744","3560.9375","3560.9375","3560.9375"
"8880128","3533.59375","3533.59375","3533.59375"
"8896512","3503.90625","3503.90625","3503.90625"
"8912896","3654.6875","3654.6875","3654.6875"
"8929280","3814.84375","3814.84375","3814.84375"
"8945664","3815.625","3815.625","3815.625"
"8962048","3797.65625","3797.65625","3797.65625"
"8978432","3717.96875","3717.96875","3717.96875"
"8994816","3757.8125","3757.8125","3757.8125"
"9011200","3771.875","3771.875","3771.875"
"9027584","3687.5","3687.5","3687.5"
"9043968","3798.4375","3798.4375","3798.4375"
"9060352","3745.3125","3745.3125","3745.3125"
"9076736","3839.0625","3839.0625","3839.0625"
"9093120","3796.09375","3796.09375","3796.09375"
"9109504","3735.9375","3735.9375","3735.9375"
"9125888","3676.5625","3676.5625","3676.5625"
"9142272","3798.4375","3798.4375","3798.4375"
"9158656","3828.125","3828.125","3828.125"
"9175040","3919.53125","3919.53125","3919.53125"
"9191424","3871.875","3871.875","3871.875"
"9207808","3945.3125","3945.3125","3945.3125"
"9224192","4122.65625","4122.65625","4122.65625"
"9240576","4105.46875","4105.46875","4105.46875"
"9256960","4039.84375","4039.84375","4039.84375"
"9273344","3992.1875","3992.1875","3992.1875"
"9289728","4002.34375","4002.34375","4002.34375"
"9306112","3990.625","3990.625","3990.625"
"9322496","3989.84375","3989.84375","3989.84375"
"9338880","3866.40625","3866.40625","3866.40625"
"9355264","3851.5625","3851.5625","3851.5625"
"9371648","3753.125","3753.125","3753.125"
"9388032","3818.75","3818.75","3818.75"
"9404416","3887.5","3887.5","3887.5"
"9420800","3835.15625","3835.15625","3835.15625"
"9437184","3792.96875","3792.96875","3792.96875"
"9453568","3856.25","3856.25","3856.25"
"9469952","3951.5625","3951.5625","3951.5625"
"9486336","3885.15625","3885.15625","3885.15625"
"9502720","3921.09375","3921.09375","3921.09375"
"9519104","3986.71875","3986.71875","3986.71875"
"9535488","3990.625","3990.625","3990.625"
"9551872","4047.65625","4047.65625","4047.65625"
"9568256","4118.75","4118.75","4118.75"
"9584640","4030.46875","4030.46875","4030.46875"
"9601024","4038.28125","4038.28125","4038.28125"
"9617408","3938.28125","3938.28125","3938.28125"
"9633792","4208.59375","4208.59375","4208.59375"
"9650176","4346.875","4346.875","4346.875"
"9666560","4462.5","4462.5","4462.5"
"9682944","4454.6875","4454.6875","4454.6875"
"9699328","4453.125","4453.125","4453.125"
"9715712","4460.9375","4460.9375","4460.9375"
"9732096","4364.84375","4364.84375","4364.84375"
"9748480","4363.28125","4363.28125","4363.28125"
"9764864","4482.03125","4482.03125","4482.03125"
"9781248","4474.21875","4474.21875","4474.21875"
"9797632","4228.125","4228.125","4228.125"
"9814016","4075.78125","4075.78125","4075.78125"
"9830400","3976.5625","3976.5625","3976.5625"
"9846784","4142.1875","4142.1875","4142.1875"
"9863168","4133.59375","4133.59375","4133.59375"
"9879552","4128.125","4128.125","4128.125"
"9895936","4224.21875","4224.21875","4224.21875"
"9912320","4289.0625","4289.0625","4289.0625"
"9928704","4212.5","4212.5","4212.5"
