"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"6176768","727.921875","727.921875","727.921875"
"6193152","726.625","726.625","726.625"
"6209536","730.6640625","730.6640625","730.6640625"
"6225920","729.1796875","729.1796875","729.1796875"
"6242304","722.7265625","722.7265625","722.7265625"
"6258688","705.5","705.5","705.5"
"6275072","697.078125","697.078125","697.078125"
"6291456","703.0703125","703.0703125","703.0703125"
"6307840","702.5546875","702.5546875","702.5546875"
"6324224","713.328125","713.328125","713.328125"
"6340608","712","712","712"
"6356992","707.6953125","707.6953125","707.6953125"
"6373376","714.2265625","714.2265625","714.2265625"
"6389760","721.078125","721.078125","721.078125"
"6406144","715.4609375","715.4609375","715.4609375"
"6422528","718.3984375","718.3984375","718.3984375"
"6438912","730.9609375","730.9609375","730.9609375"
"6455296","732.421875","732.421875","732.421875"
"6471680","724.2265625","724.2265625","724.2265625"
"6488064","725.4140625","725.4140625","725.4140625"
"6504448","730.25","730.25","730.25"
"6520832","726.9140625","726.9140625","726.9140625"
"6537216","725.8203125","725.8203125","725.8203125"
"6553600","715.3046875","715.3046875","715.3046875"
"6569984","703.671875","703.671875","703.671875"
"6586368","680.328125","680.328125","680.328125"
"6602752","679.75","679.75","679.75"
"6619136","659.6328125","659.6328125","659.6328125"
"6635520","668.3984375","668.3984375","668.3984375"
"6651904","688.7421875","688.7421875","688.7421875"
"6668288","698.9921875","698.9921875","698.9921875"
"6684672","700.5625","700.5625","700.5625"
"6701056","701.4296875","701.4296875","701.4296875"
"6717440","707.3359375","707.3359375","707.3359375"
"6733824","715.0234375","715.0234375","715.0234375"
"6750208","718.4453125","718.4453125","718.4453125"
"6766592","711.640625","711.640625","711.640625"
"6782976","712.4296875","712.4296875","712.4296875"
"6799360","722.359375","722.359375","722.359375"
"6815744","714.484375","714.484375","714.484375"
"6832128","709.2109375","709.2109375","709.2109375"
"6848512","714.0859375","714.0859375","714.0859375"
"6864896","718.6875","718.6875","718.6875"
"6881280","721.953125","721.953125","721.953125"
"6897664","718.8671875","718.8671875","718.8671875"
"6914048","724.09375","724.09375","724.09375"
"6930432","724.421875","724.421875","724.421875"
"6946816","740.8359375","740.8359375","740.8359375"
"6963200","746.75","746.75","746.75"
"6979584","739.1796875","739.1796875","739.1796875"
"6995968","733.8515625","733.8515625","733.8515625"
"7012352","733.2421875","733.2421875","733.2421875"
"7028736","737.3671875","737.3671875","737.3671875"
"7045120","725.2265625","725.2265625","725.2265625"
"7061504","727.8203125","727.8203125","727.8203125"
"7077888","739.5703125","739.5703125","739.5703125"
"7094272","764.2109375","764.2109375","764.2109375"
"7110656","784.2109375","784.2109375","784.2109375"
"7127040","800.34375","800.34375","800.34375"
"7143424","807.0234375","807.0234375","807.0234375"
"7159808","790.953125","790.953125","790.953125"
"7176192","788.2109375","788.2109375","788.2109375"
"7192576","772.8046875","772.8046875","772.8046875"
"7208960","764.15625","764.15625","764.15625"
"7225344","752.515625","752.515625","752.515625"
"7241728","745.7578125","745.7578125","745.7578125"
"7258112","754.7109375","754.7109375","754.7109375"
"7274496","780.5546875","780.5546875","780.5546875"
"7290880","777.8359375","777.8359375","777.8359375"
"7307264","785.078125","785.078125","785.078125"
"7323648","795.6953125","795.6953125","795.6953125"
"7340032","800.9140625","800.9140625","800.9140625"
"7356416","822.109375","822.109375","822.109375"
"7372800","848.2578125","848.2578125","848.2578125"
"7389184","854.7578125","854.7578125","854.7578125"
"7405568","875.453125","875.453125","875.453125"
"7421952","887.9765625","887.9765625","887.9765625"
"7438336","913.140625","913.140625","913.140625"
"7454720","904.625","904.625","904.625"
"7471104","916.1484375","916.1484375","916.1484375"
"7487488","906.3359375","906.3359375","906.3359375"
"7503872","897.96875","897.96875","897.96875"
"7520256","885.6953125","885.6953125","885.6953125"
"7536640","874.046875","874.046875","874.046875"
"7553024","881.2265625","881.2265625","881.2265625"
"7569408","845.90625","845.90625","845.90625"
"7585792","837.796875","837.796875","837.796875"
"7602176","822.4375","822.4375","822.4375"
"7618560","820.7890625","820.7890625","820.7890625"
"7634944","811.8671875","811.8671875","811.8671875"
"7651328","817.5703125","817.5703125","817.5703125"
"7667712","821.9765625","821.9765625","821.9765625"
"7684096","820.734375","820.734375","820.734375"
"7700480","820.9453125","820.9453125","820.9453125"
"7716864","814.1875","814.1875","814.1875"
"7733248","820.328125","820.328125","820.328125"
"7749632","790.4765625","790.4765625","790.4765625"
"7766016","789.96875","789.96875","789.96875"
"7782400","775.9453125","775.9453125","775.9453125"
"7798784","773.8984375","773.8984375","773.8984375"
"7815168","762.0625","762.0625","762.0625"
"7831552","759.21875","759.21875","759.21875"
"7847936","764.6328125","764.6328125","764.6328125"
"7864320","775.2890625","775.2890625","775.2890625"
"7880704","770.2265625","770.2265625","770.2265625"
"7897088","745.6875","745.6875","745.6875"
"7913472","748.34375","748.34375","748.34375"
"7929856","754.1875","754.1875","754.1875"
"7946240","742.609375","742.609375","742.609375"
"7962624","737.046875","737.046875","737.046875"
"7979008","754.7421875","754.7421875","754.7421875"
"7995392","755.3046875","755.3046875","755.3046875"
"8011776","718.2578125","718.2578125","718.2578125"
"8028160","712.15625","712.15625","712.15625"
"8044544","708.109375","708.109375","708.109375"
"8060928","689.2890625","689.2890625","689.2890625"
"8077312","696.1640625","696.1640625","696.1640625"
"8093696","694.703125","694.703125","694.703125"
"8110080","700.125","700.125","700.125"
