"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"6242304","1215.6484375","1215.6484375","1215.6484375"
"6258688","1206.1875","1206.1875","1206.1875"
"6275072","1201.8984375","1201.8984375","1201.8984375"
"6291456","1218.453125","1218.453125","1218.453125"
"6307840","1232.3359375","1232.3359375","1232.3359375"
"6324224","1246.3515625","1246.3515625","1246.3515625"
"6340608","1247.46875","1247.46875","1247.46875"
"6356992","1223.1328125","1223.1328125","1223.1328125"
"6373376","1210.890625","1210.890625","1210.890625"
"6389760","1200.859375","1200.859375","1200.859375"
"6406144","1214.1953125","1214.1953125","1214.1953125"
"6422528","1237.4453125","1237.4453125","1237.4453125"
"6438912","1249.09375","1249.09375","1249.09375"
"6455296","1280.9609375","1280.9609375","1280.9609375"
"6471680","1274.4765625","1274.4765625","1274.4765625"
"6488064","1278.390625","1278.390625","1278.390625"
"6504448","1271.8671875","1271.8671875","1271.8671875"
"6520832","1290.2421875","1290.2421875","1290.2421875"
"6537216","1312.3515625","1312.3515625","1312.3515625"
"6553600","1362.1171875","1362.1171875","1362.1171875"
"6569984","1357.46875","1357.46875","1357.46875"
"6586368","1358.21875","1358.21875","1358.21875"
"6602752","1370.515625","1370.515625","1370.515625"
"6619136","1353.234375","1353.234375","1353.234375"
"6635520","1357.578125","1357.578125","1357.578125"
"6651904","1347.53125","1347.53125","1347.53125"
"6668288","1352.828125","1352.828125","1352.828125"
"6684672","1328.7578125","1328.7578125","1328.7578125"
"6701056","1329.8359375","1329.8359375","1329.8359375"
"6717440","1301.5546875","1301.5546875","1301.5546875"
"6733824","1319.984375","1319.984375","1319.984375"
"6750208","1293.125","1293.125","1293.125"
"6766592","1285.7734375","1285.7734375","1285.7734375"
"6782976","1285.875","1285.875","1285.875"
"6799360","1301.4453125","1301.4453125","1301.4453125"
"6815744","1283.9609375","1283.9609375","1283.9609375"
"6832128","1285.375","1285.375","1285.375"
"6848512","1267.9453125","1267.9453125","1267.9453125"
"6864896","1281.265625","1281.265625","1281.265625"
"6881280","1251.1484375","1251.1484375","1251.1484375"
"6897664","1235.203125","1235.203125","1235.203125"
"6914048","1206.9921875","1206.9921875","1206.9921875"
"6930432","1221.1171875","1221.1171875","1221.1171875"
"6946816","1188.125","1188.125","1188.125"
"6963200","1211.0625","1211.0625","1211.0625"
"6979584","1200.671875","1200.671875","1200.671875"
"6995968","1192.71875","1192.71875","1192.71875"
"7012352","1208.2890625","1208.2890625","1208.2890625"
"7028736","1195.84375","1195.84375","1195.84375"
"7045120","1218.671875","1218.671875","1218.671875"
"7061504","1246.1875","1246.1875","1246.1875"
"7077888","1264.5078125","1264.5078125","1264.5078125"
"7094272","1269.046875","1269.046875","1269.046875"
"7110656","1293.203125","1293.203125","1293.203125"
"7127040","1294.53125","1294.53125","1294.53125"
"7143424","1273.8828125","1273.8828125","1273.8828125"
"7159808","1293.828125","1293.828125","1293.828125"
"7176192","1289.4609375","1289.4609375","1289.4609375"
"7192576","1303.0859375","1303.0859375","1303.0859375"
"7208960","1324.5078125","1324.5078125","1324.5078125"
"7225344","1319.15625","1319.15625","1319.15625"
"7241728","1301.2578125","1301.2578125","1301.2578125"
"7258112","1321.015625","1321.015625","1321.015625"
"7274496","1305.3671875","1305.3671875","1305.3671875"
"7290880","1314.703125","1314.703125","1314.703125"
"7307264","1328.3046875","1328.3046875","1328.3046875"
"7323648","1347.5","1347.5","1347.5"
"7340032","1339.2421875","1339.2421875","1339.2421875"
"7356416","1333.7109375","1333.7109375","1333.7109375"
"7372800","1348.1953125","1348.1953125","1348.1953125"
"7389184","1334.0234375","1334.0234375","1334.0234375"
"7405568","1342.125","1342.125","1342.125"
"7421952","1364.5859375","1364.5859375","1364.5859375"
"7438336","1372.5078125","1372.5078125","1372.5078125"
"7454720","1393.5625","1393.5625","1393.5625"
"7471104","1396.4375","1396.4375","1396.4375"
"7487488","1385.3828125","1385.3828125","1385.3828125"
"7503872","1394.15625","1394.15625","1394.15625"
"7520256","1405.3671875","1405.3671875","1405.3671875"
"7536640","1405.1171875","1405.1171875","1405.1171875"
"7553024","1380.515625","1380.515625","1380.515625"
"7569408","1342.3515625","1342.3515625","1342.3515625"
"7585792","1338.5234375","1338.5234375","1338.5234375"
"7602176","1357.796875","1357.796875","1357.796875"
"7618560","1353.2734375","1353.2734375","1353.2734375"
"7634944","1341.3984375","1341.3984375","1341.3984375"
"7651328","1319.3984375","1319.3984375","1319.3984375"
"7667712","1327.6484375","1327.6484375","1327.6484375"
"7684096","1322.6328125","1322.6328125","1322.6328125"
"7700480","1340.6640625","1340.6640625","1340.6640625"
"7716864","1341.3828125","1341.3828125","1341.3828125"
"7733248","1357.9375","1357.9375","1357.9375"
"7749632","1375.3203125","1375.3203125","1375.3203125"
"7766016","1439.0390625","1439.0390625","1439.0390625"
"7782400","1435.0234375","1435.0234375","1435.0234375"
"7798784","1438.8359375","1438.8359375","1438.8359375"
"7815168","1421.9140625","1421.9140625","1421.9140625"
"7831552","1454.515625","1454.515625","1454.515625"
"7847936","1477.609375","1477.609375","1477.609375"
"7864320","1514.953125","1514.953125","1514.953125"
"7880704","1500","1500","1500"
"7897088","1540.46875","1540.46875","1540.46875"
"7913472","1551.5234375","1551.5234375","1551.5234375"
"7929856","1572.796875","1572.796875","1572.796875"
"7946240","1592.421875","1592.421875","1592.421875"
"7962624","1560.671875","1560.671875","1560.671875"
"7979008","1580.46875","1580.46875","1580.46875"
"7995392","1594.8671875","1594.8671875","1594.8671875"
"8011776","1591.2265625","1591.2265625","1591.2265625"
"8028160","1580.2890625","1580.2890625","1580.2890625"
"8044544","1528.125","1528.125","1528.125"
"8060928","1489.1953125","1489.1953125","1489.1953125"
"8077312","1517.921875","1517.921875","1517.921875"
"8093696","1522.4765625","1522.4765625","1522.4765625"
"8110080","1515.203125","1515.203125","1515.203125"
"8126464","1477.546875","1477.546875","1477.546875"
"8142848","1484.8203125","1484.8203125","1484.8203125"
"8159232","1472.3359375","1472.3359375","1472.3359375"
"8175616","1477.859375","1477.859375","1477.859375"
"8192000","1471.28125","1471.28125","1471.28125"
"8208384","1496.3984375","1496.3984375","1496.3984375"
"8224768","1502.2265625","1502.2265625","1502.2265625"
"8241152","1517.3984375","1517.3984375","1517.3984375"
"8257536","1527.546875","1527.546875","1527.546875"
"8273920","1525.6875","1525.6875","1525.6875"
"8290304","1509.4140625","1509.4140625","1509.4140625"
"8306688","1490.9921875","1490.9921875","1490.9921875"
"8323072","1525.828125","1525.828125","1525.828125"
"8339456","1562.640625","1562.640625","1562.640625"
"8355840","1574.171875","1574.171875","1574.171875"
"8372224","1566.609375","1566.609375","1566.609375"
"8388608","1575.5","1575.5","1575.5"
"8404992","1593.25","1593.25","1593.25"
"8421376","1578.78125","1578.78125","1578.78125"
"8437760","1646.53125","1646.53125","1646.53125"
"8454144","1648.203125","1648.203125","1648.203125"
"8470528","1670.9296875","1670.9296875","1670.9296875"
"8486912","1647.4375","1647.4375","1647.4375"
"8503296","1654.2109375","1654.2109375","1654.2109375"
"8519680","1673.5390625","1673.5390625","1673.5390625"
"8536064","1679.234375","1679.234375","1679.234375"
"8552448","1705.640625","1705.640625","1705.640625"
"8568832","1688.515625","1688.515625","1688.515625"
"8585216","1726.875","1726.875","1726.875"
"8601600","1719.4453125","1719.4453125","1719.4453125"
"8617984","1751.09375","1751.09375","1751.09375"
"8634368","1736.6953125","1736.6953125","1736.6953125"
"8650752","1760.3203125","1760.3203125","1760.3203125"
"8667136","1739.140625","1739.140625","1739.140625"
