"Step","TrajLen","Alien-v5__bootstrapRLE - charts/traj_len__MIN","Alien-v5__bootstrapRLE - charts/traj_len__MAX"
"8716288","837.203125","837.203125","837.203125"
"8732672","835.9296875","835.9296875","835.9296875"
"8749056","837.3984375","837.3984375","837.3984375"
"8765440","838.671875","838.671875","838.671875"
"8781824","838.5078125","838.5078125","838.5078125"
"8798208","833.5703125","833.5703125","833.5703125"
"8814592","834.125","834.125","834.125"
"8830976","846.078125","846.078125","846.078125"
"8847360","842.078125","842.078125","842.078125"
"8863744","847.7421875","847.7421875","847.7421875"
"8880128","854.578125","854.578125","854.578125"
"8896512","862.0859375","862.0859375","862.0859375"
"8912896","864.2421875","864.2421875","864.2421875"
"8929280","870.53125","870.53125","870.53125"
"8945664","869.21875","869.21875","869.21875"
"8962048","868.5625","868.5625","868.5625"
"8978432","864.09375","864.09375","864.09375"
"8994816","859.2265625","859.2265625","859.2265625"
"9011200","847.96875","847.96875","847.96875"
"9027584","851.7578125","851.7578125","851.7578125"
"9043968","838.0390625","838.0390625","838.0390625"
"9060352","839.484375","839.484375","839.484375"
"9076736","832.8046875","832.8046875","832.8046875"
"9093120","834.765625","834.765625","834.765625"
"9109504","827.8828125","827.8828125","827.8828125"
"9125888","830.1953125","830.1953125","830.1953125"
"9142272","831.5","831.5","831.5"
"9158656","833.0078125","833.0078125","833.0078125"
"9175040","824.484375","824.484375","824.484375"
"9191424","834.2421875","834.2421875","834.2421875"
"9207808","843.2421875","843.2421875","843.2421875"
"9224192","840.5859375","840.5859375","840.5859375"
"9240576","847.6328125","847.6328125","847.6328125"
"9256960","847.9140625","847.9140625","847.9140625"
"9273344","861.265625","861.265625","861.265625"
"9289728","862.9296875","862.9296875","862.9296875"
"9306112","855.8671875","855.8671875","855.8671875"
"9322496","830.6640625","830.6640625","830.6640625"
"9338880","828.8671875","828.8671875","828.8671875"
"9355264","828.8515625","828.8515625","828.8515625"
"9371648","818.609375","818.609375","818.609375"
"9388032","804.1796875","804.1796875","804.1796875"
"9404416","810.0703125","810.0703125","810.0703125"
"9420800","819.359375","819.359375","819.359375"
"9437184","816.6875","816.6875","816.6875"
"9453568","824.921875","824.921875","824.921875"
"9469952","824.5","824.5","824.5"
"9486336","824.4921875","824.4921875","824.4921875"
"9502720","828.1640625","828.1640625","828.1640625"
"9519104","826.40625","826.40625","826.40625"
"9535488","823.5859375","823.5859375","823.5859375"
"9551872","822.9765625","822.9765625","822.9765625"
"9568256","820.703125","820.703125","820.703125"
"9584640","818.8984375","818.8984375","818.8984375"
"9601024","820.734375","820.734375","820.734375"
"9617408","827.7890625","827.7890625","827.7890625"
"9633792","827.1015625","827.1015625","827.1015625"
"9650176","835.6484375","835.6484375","835.6484375"
"9666560","845.8671875","845.8671875","845.8671875"
"9682944","843.5859375","843.5859375","843.5859375"
"9699328","846.8203125","846.8203125","846.8203125"
"9715712","850.671875","850.671875","850.671875"
