"Step","Score","Alien-v5__bootstrapRLE - charts/game_score__MIN","Alien-v5__bootstrapRLE - charts/game_score__MAX"
"7733248","1057.8125","1057.8125","1057.8125"
"7749632","1064.453125","1064.453125","1064.453125"
"7766016","1040.859375","1040.859375","1040.859375"
"7782400","1058.75","1058.75","1058.75"
"7798784","1076.953125","1076.953125","1076.953125"
"7815168","1049.0625","1049.0625","1049.0625"
"7831552","1048.515625","1048.515625","1048.515625"
"7847936","1042.890625","1042.890625","1042.890625"
"7864320","1038.203125","1038.203125","1038.203125"
"7880704","1043.59375","1043.59375","1043.59375"
"7897088","1003.671875","1003.671875","1003.671875"
"7913472","1008.59375","1008.59375","1008.59375"
"7929856","1007.265625","1007.265625","1007.265625"
"7946240","990.46875","990.46875","990.46875"
"7962624","977.5","977.5","977.5"
"7979008","990.78125","990.78125","990.78125"
"7995392","973.828125","973.828125","973.828125"
"8011776","1001.09375","1001.09375","1001.09375"
"8028160","1012.890625","1012.890625","1012.890625"
"8044544","1023.828125","1023.828125","1023.828125"
"8060928","1007.34375","1007.34375","1007.34375"
"8077312","1015.859375","1015.859375","1015.859375"
"8093696","997.421875","997.421875","997.421875"
"8110080","999.84375","999.84375","999.84375"
"8126464","1008.90625","1008.90625","1008.90625"
"8142848","998.046875","998.046875","998.046875"
"8159232","1002.734375","1002.734375","1002.734375"
"8175616","1026.953125","1026.953125","1026.953125"
"8192000","1056.796875","1056.796875","1056.796875"
"8208384","1050.078125","1050.078125","1050.078125"
"8224768","1028.90625","1028.90625","1028.90625"
"8241152","1034.84375","1034.84375","1034.84375"
"8257536","1032.34375","1032.34375","1032.34375"
"8273920","1051.40625","1051.40625","1051.40625"
"8290304","1057.265625","1057.265625","1057.265625"
"8306688","1062.1875","1062.1875","1062.1875"
"8323072","1090.9375","1090.9375","1090.9375"
"8339456","1101.171875","1101.171875","1101.171875"
"8355840","1093.046875","1093.046875","1093.046875"
"8372224","1099.21875","1099.21875","1099.21875"
"8388608","1087.1875","1087.1875","1087.1875"
"8404992","1073.59375","1073.59375","1073.59375"
"8421376","1102.03125","1102.03125","1102.03125"
"8437760","1095.9375","1095.9375","1095.9375"
"8454144","1094.921875","1094.921875","1094.921875"
"8470528","1118.359375","1118.359375","1118.359375"
"8486912","1112.34375","1112.34375","1112.34375"
"8503296","1115.703125","1115.703125","1115.703125"
"8519680","1110.9375","1110.9375","1110.9375"
"8536064","1096.484375","1096.484375","1096.484375"
"8552448","1116.640625","1116.640625","1116.640625"
"8568832","1152.421875","1152.421875","1152.421875"
"8585216","1138.984375","1138.984375","1138.984375"
"8601600","1137.890625","1137.890625","1137.890625"
"8617984","1146.328125","1146.328125","1146.328125"
"8634368","1174.453125","1174.453125","1174.453125"
"8650752","1170","1170","1170"
"8667136","1168.515625","1168.515625","1168.515625"
"8683520","1131.25","1131.25","1131.25"
"8699904","1175.390625","1175.390625","1175.390625"
"8716288","1192.1875","1192.1875","1192.1875"
"8732672","1185.625","1185.625","1185.625"
"8749056","1153.75","1153.75","1153.75"
"8765440","1150.390625","1150.390625","1150.390625"
"8781824","1158.90625","1158.90625","1158.90625"
"8798208","1178.59375","1178.59375","1178.59375"
"8814592","1179.765625","1179.765625","1179.765625"
"8830976","1201.71875","1201.71875","1201.71875"
"8847360","1189.296875","1189.296875","1189.296875"
"8863744","1208.59375","1208.59375","1208.59375"
"8880128","1211.71875","1211.71875","1211.71875"
"8896512","1214.765625","1214.765625","1214.765625"
"8912896","1187.109375","1187.109375","1187.109375"
"8929280","1166.171875","1166.171875","1166.171875"
"8945664","1175.859375","1175.859375","1175.859375"
"8962048","1177.265625","1177.265625","1177.265625"
"8978432","1188.125","1188.125","1188.125"
"8994816","1165.625","1165.625","1165.625"
"9011200","1168.75","1168.75","1168.75"
"9027584","1167.734375","1167.734375","1167.734375"
"9043968","1157.03125","1157.03125","1157.03125"
"9060352","1132.5","1132.5","1132.5"
"9076736","1124.84375","1124.84375","1124.84375"
"9093120","1126.484375","1126.484375","1126.484375"
"9109504","1133.671875","1133.671875","1133.671875"
"9125888","1173.28125","1173.28125","1173.28125"
"9142272","1192.5","1192.5","1192.5"
"9158656","1232.890625","1232.890625","1232.890625"
"9175040","1210","1210","1210"
"9191424","1236.640625","1236.640625","1236.640625"
"9207808","1214.84375","1214.84375","1214.84375"
"9224192","1195.78125","1195.78125","1195.78125"
"9240576","1204.84375","1204.84375","1204.84375"
"9256960","1205.078125","1205.078125","1205.078125"
"9273344","1237.96875","1237.96875","1237.96875"
"9289728","1226.40625","1226.40625","1226.40625"
"9306112","1223.4375","1223.4375","1223.4375"
"9322496","1328.671875","1328.671875","1328.671875"
"9338880","1308.125","1308.125","1308.125"
"9355264","1291.953125","1291.953125","1291.953125"
"9371648","1258.046875","1258.046875","1258.046875"
"9388032","1239.53125","1239.53125","1239.53125"
"9404416","1223.4375","1223.4375","1223.4375"
"9420800","1202.890625","1202.890625","1202.890625"
"9437184","1134.453125","1134.453125","1134.453125"
"9453568","1126.796875","1126.796875","1126.796875"
"9469952","1110.234375","1110.234375","1110.234375"
"9486336","1121.171875","1121.171875","1121.171875"
"9502720","1172.109375","1172.109375","1172.109375"
"9519104","1186.796875","1186.796875","1186.796875"
"9535488","1193.4375","1193.4375","1193.4375"
"9551872","1244.375","1244.375","1244.375"
"9568256","1246.640625","1246.640625","1246.640625"
"9584640","1260.859375","1260.859375","1260.859375"
"9601024","1247.578125","1247.578125","1247.578125"
"9617408","1272.65625","1272.65625","1272.65625"
"9633792","1292.5","1292.5","1292.5"
"9650176","1313.90625","1313.90625","1313.90625"
"9666560","1297.265625","1297.265625","1297.265625"
"9682944","1291.71875","1291.71875","1291.71875"
"9699328","1321.484375","1321.484375","1321.484375"
"9715712","1295.703125","1295.703125","1295.703125"
"9732096","1281.640625","1281.640625","1281.640625"
"9748480","1301.328125","1301.328125","1301.328125"
"9764864","1323.046875","1323.046875","1323.046875"
"9781248","1306.796875","1306.796875","1306.796875"
"9797632","1293.671875","1293.671875","1293.671875"
"9814016","1273.515625","1273.515625","1273.515625"
"9830400","1301.015625","1301.015625","1301.015625"
"9846784","1296.171875","1296.171875","1296.171875"
"9863168","1267.734375","1267.734375","1267.734375"
"9879552","1315.234375","1315.234375","1315.234375"
"9895936","1299.84375","1299.84375","1299.84375"
"9912320","1297.8125","1297.8125","1297.8125"
"9928704","1297.578125","1297.578125","1297.578125"
"9945088","1312.890625","1312.890625","1312.890625"
"9961472","1294.921875","1294.921875","1294.921875"
"9977856","1288.515625","1288.515625","1288.515625"
"9994240","1259.921875","1259.921875","1259.921875"
"10010624","1238.046875","1238.046875","1238.046875"
"10027008","1248.828125","1248.828125","1248.828125"
"10043392","1232.265625","1232.265625","1232.265625"
"10059776","1240.390625","1240.390625","1240.390625"
"10076160","1213.671875","1213.671875","1213.671875"
"10092544","1217.8125","1217.8125","1217.8125"
"10108928","1213.75","1213.75","1213.75"
"10125312","1220.15625","1220.15625","1220.15625"
"10141696","1231.875","1231.875","1231.875"
"10158080","1247.734375","1247.734375","1247.734375"
"10174464","1240.546875","1240.546875","1240.546875"
"10190848","1249.765625","1249.765625","1249.765625"
"10207232","1284.296875","1284.296875","1284.296875"
"10223616","1292.578125","1292.578125","1292.578125"
"10240000","1300.859375","1300.859375","1300.859375"
"10256384","1292.890625","1292.890625","1292.890625"
"10272768","1311.484375","1311.484375","1311.484375"
"10289152","1292.421875","1292.421875","1292.421875"
"10305536","1262.421875","1262.421875","1262.421875"
"10321920","1255","1255","1255"
"10338304","1245.3125","1245.3125","1245.3125"
"10354688","1243.28125","1243.28125","1243.28125"
"10371072","1237.109375","1237.109375","1237.109375"
"10387456","1240.625","1240.625","1240.625"
"10403840","1276.875","1276.875","1276.875"
"10420224","1318.125","1318.125","1318.125"
"10436608","1315.390625","1315.390625","1315.390625"
