"Step","Score","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MIN","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MAX"
"9994240","759.609375","759.609375","759.609375"
"10010624","754.765625","754.765625","754.765625"
"10027008","756.09375","756.09375","756.09375"
"10043392","772.1875","772.1875","772.1875"
"10059776","778.828125","778.828125","778.828125"
"10076160","786.640625","786.640625","786.640625"
"10092544","776.5625","776.5625","776.5625"
"10108928","784.921875","784.921875","784.921875"
"10125312","801.40625","801.40625","801.40625"
"10141696","821.5625","821.5625","821.5625"
"10158080","814.609375","814.609375","814.609375"
"10174464","791.484375","791.484375","791.484375"
"10190848","802.109375","802.109375","802.109375"
"10207232","766.25","766.25","766.25"
"10223616","742.265625","742.265625","742.265625"
"10240000","741.953125","741.953125","741.953125"
"10256384","757.1875","757.1875","757.1875"
"10272768","755.78125","755.78125","755.78125"
"10289152","776.25","776.25","776.25"
"10305536","783.90625","783.90625","783.90625"
"10321920","808.046875","808.046875","808.046875"
"10338304","788.359375","788.359375","788.359375"
"10354688","801.953125","801.953125","801.953125"
"10371072","842.1875","842.1875","842.1875"
"10387456","816.09375","816.09375","816.09375"
"10403840","823.515625","823.515625","823.515625"
"10420224","855.703125","855.703125","855.703125"
"10436608","869.921875","869.921875","869.921875"
"10452992","865.78125","865.78125","865.78125"
"10469376","832.8125","832.8125","832.8125"
"10485760","863.515625","863.515625","863.515625"
"10502144","849.0625","849.0625","849.0625"
"10518528","854.375","854.375","854.375"
"10534912","854.6875","854.6875","854.6875"
"10551296","884.0625","884.0625","884.0625"
"10567680","906.953125","906.953125","906.953125"
"10584064","899.21875","899.21875","899.21875"
"10600448","910.9375","910.9375","910.9375"
"10616832","911.484375","911.484375","911.484375"
"10633216","925.3125","925.3125","925.3125"
"10649600","895.9375","895.9375","895.9375"
"10665984","888.671875","888.671875","888.671875"
"10682368","892.421875","892.421875","892.421875"
"10698752","903.046875","903.046875","903.046875"
"10715136","883.515625","883.515625","883.515625"
"10731520","898.59375","898.59375","898.59375"
"10747904","913.28125","913.28125","913.28125"
"10764288","905.78125","905.78125","905.78125"
"10780672","913.359375","913.359375","913.359375"
"10797056","915.3125","915.3125","915.3125"
"10813440","942.8125","942.8125","942.8125"
"10829824","925.703125","925.703125","925.703125"
"10846208","913.59375","913.59375","913.59375"
"10862592","917.65625","917.65625","917.65625"
