"Step","Score","Alien-v5__ppo_rnd_envpool - charts/game_score__MIN","Alien-v5__ppo_rnd_envpool - charts/game_score__MAX"
"9207808","601.640625","601.640625","601.640625"
"9224192","609.453125","609.453125","609.453125"
"9240576","612.65625","612.65625","612.65625"
"9256960","623.90625","623.90625","623.90625"
"9273344","618.75","618.75","618.75"
"9289728","626.640625","626.640625","626.640625"
"9306112","609.0625","609.0625","609.0625"
"9322496","604.0625","604.0625","604.0625"
"9338880","598.28125","598.28125","598.28125"
"9355264","584.609375","584.609375","584.609375"
"9371648","582.421875","582.421875","582.421875"
"9388032","595","595","595"
"9404416","608.984375","608.984375","608.984375"
"9420800","608.203125","608.203125","608.203125"
"9437184","628.125","628.125","628.125"
"9453568","620.46875","620.46875","620.46875"
"9469952","612.578125","612.578125","612.578125"
"9486336","609.0625","609.0625","609.0625"
"9502720","605.78125","605.78125","605.78125"
"9519104","607.578125","607.578125","607.578125"
"9535488","619.609375","619.609375","619.609375"
"9551872","632.34375","632.34375","632.34375"
"9568256","634.21875","634.21875","634.21875"
"9584640","650.78125","650.78125","650.78125"
"9601024","647.421875","647.421875","647.421875"
"9617408","657.8125","657.8125","657.8125"
"9633792","638.4375","638.4375","638.4375"
"9650176","633.4375","633.4375","633.4375"
"9666560","637.34375","637.34375","637.34375"
"9682944","627.34375","627.34375","627.34375"
"9699328","612.421875","612.421875","612.421875"
"9715712","624.765625","624.765625","624.765625"
"9732096","636.171875","636.171875","636.171875"
"9748480","638.984375","638.984375","638.984375"
"9764864","628.90625","628.90625","628.90625"
"9781248","634.53125","634.53125","634.53125"
"9797632","646.40625","646.40625","646.40625"
"9814016","604.609375","604.609375","604.609375"
"9830400","612.734375","612.734375","612.734375"
"9846784","630.859375","630.859375","630.859375"
"9863168","638.359375","638.359375","638.359375"
"9879552","626.796875","626.796875","626.796875"
"9895936","634.140625","634.140625","634.140625"
"9912320","667.578125","667.578125","667.578125"
"9928704","670.703125","670.703125","670.703125"
"9945088","666.484375","666.484375","666.484375"
"9961472","654.609375","654.609375","654.609375"
"9977856","661.25","661.25","661.25"
"9994240","649.84375","649.84375","649.84375"
"10010624","633.203125","633.203125","633.203125"
"10027008","629.453125","629.453125","629.453125"
"10043392","626.171875","626.171875","626.171875"
"10059776","623.4375","623.4375","623.4375"
"10076160","610","610","610"
"10092544","628.28125","628.28125","628.28125"
"10108928","623.125","623.125","623.125"
"10125312","630.3125","630.3125","630.3125"
"10141696","638.046875","638.046875","638.046875"
"10158080","656.328125","656.328125","656.328125"
"10174464","657.96875","657.96875","657.96875"
"10190848","668.359375","668.359375","668.359375"
"10207232","664.140625","664.140625","664.140625"
"10223616","657.96875","657.96875","657.96875"
"10240000","658.75","658.75","658.75"
"10256384","658.046875","658.046875","658.046875"
"10272768","630.546875","630.546875","630.546875"
"10289152","620.625","620.625","620.625"
"10305536","642.109375","642.109375","642.109375"
"10321920","630.859375","630.859375","630.859375"
"10338304","619.609375","619.609375","619.609375"
"10354688","620.15625","620.15625","620.15625"
"10371072","647.421875","647.421875","647.421875"
"10387456","632.1875","632.1875","632.1875"
"10403840","623.828125","623.828125","623.828125"
"10420224","632.34375","632.34375","632.34375"
"10436608","651.171875","651.171875","651.171875"
"10452992","627.03125","627.03125","627.03125"
"10469376","630.78125","630.78125","630.78125"
"10485760","655.15625","655.15625","655.15625"
"10502144","659.453125","659.453125","659.453125"
"10518528","648.4375","648.4375","648.4375"
"10534912","633.125","633.125","633.125"
"10551296","641.796875","641.796875","641.796875"
"10567680","646.875","646.875","646.875"
"10584064","622.109375","622.109375","622.109375"
"10600448","628.671875","628.671875","628.671875"
"10616832","643.59375","643.59375","643.59375"
"10633216","651.328125","651.328125","651.328125"
"10649600","655.859375","655.859375","655.859375"
"10665984","637.1875","637.1875","637.1875"
"10682368","648.59375","648.59375","648.59375"
"10698752","653.359375","653.359375","653.359375"
"10715136","639.0625","639.0625","639.0625"
"10731520","638.515625","638.515625","638.515625"
"10747904","644.375","644.375","644.375"
"10764288","661.328125","661.328125","661.328125"
"10780672","676.328125","676.328125","676.328125"
"10797056","664.53125","664.53125","664.53125"
"10813440","674.53125","674.53125","674.53125"
"10829824","672.5","672.5","672.5"
"10846208","686.796875","686.796875","686.796875"
"10862592","668.125","668.125","668.125"
"10878976","638.203125","638.203125","638.203125"
"10895360","647.96875","647.96875","647.96875"
"10911744","651.484375","651.484375","651.484375"
"10928128","637.1875","637.1875","637.1875"
"10944512","637.890625","637.890625","637.890625"
